n, bubble, insertion, selection, std::sort, quick, merge, quick hybrid
2,2.1834e-08,8.583e-09,9.041e-09,1.0959e-08,6.3042e-08,1.1958e-08,1.1083e-08
4,2.9042e-08,4.5667e-08,2.875e-08,2.4583e-08,1.72792e-07,1.23708e-07,2.775e-08
6,6.2792e-08,4.4209e-08,9.8667e-08,4.5833e-08,3.42167e-07,6.8625e-08,5.3959e-08
8,2.93541e-07,1.84625e-07,1.99167e-07,1.37917e-07,6.66458e-07,2.11875e-07,1.47125e-07
10,4.21625e-07,1.88916e-07,2.65417e-07,1.49042e-07,7.2375e-07,2.52125e-07,1.58e-07
12,4.12125e-07,1.80375e-07,3.595e-07,1.82917e-07,9.27416e-07,3.12958e-07,2.04375e-07
14,6.50416e-07,1.91292e-07,4.92083e-07,2.51125e-07,9.63708e-07,3.35833e-07,2.02834e-07
16,6.59709e-07,2.38916e-07,5.09042e-07,2.24959e-07,1.07238e-06,3.95208e-07,2.39666e-07
18,8.25917e-07,2.43792e-07,5.15833e-07,3.24083e-07,1.02921e-06,4.02042e-07,2.38208e-07
20,1.00846e-06,2.50875e-07,6.63e-07,3.69833e-07,1.19346e-06,4.98e-07,2.81708e-07
22,1.02713e-06,2.70292e-07,6.52042e-07,3.78542e-07,1.17058e-06,4.7275e-07,2.84458e-07
24,1.19525e-06,2.95458e-07,8.1575e-07,4.25375e-07,1.32496e-06,5.33708e-07,3.09125e-07
26,1.29667e-06,2.91375e-07,7.73709e-07,4.20209e-07,1.31342e-06,5.42542e-07,3.23041e-07
28,1.34321e-06,3.10791e-07,8.07792e-07,4.55625e-07,1.32787e-06,5.55708e-07,3.25041e-07
30,1.42729e-06,2.50125e-07,6.92667e-07,3.86291e-07,1.27187e-06,5.48917e-07,4.18166e-07
32,1.64475e-06,3.36834e-07,9.84708e-07,5.17875e-07,1.53854e-06,6.03542e-07,3.60042e-07
34,1.72796e-06,3.66833e-07,1.02179e-06,5.16625e-07,1.57379e-06,6.50333e-07,3.78042e-07
36,1.88054e-06,3.62e-07,1.0415e-06,5.525e-07,1.58162e-06,6.41708e-07,3.98209e-07
38,2.19113e-06,4.085e-07,1.10121e-06,5.52333e-07,1.62762e-06,6.65042e-07,4.01792e-07
40,2.11938e-06,4.03042e-07,1.15554e-06,6.005e-07,1.71267e-06,7.13666e-07,4.29667e-07
42,2.26037e-06,4.24e-07,1.18042e-06,6.2525e-07,1.76963e-06,7.34916e-07,4.57125e-07
44,2.39733e-06,4.42542e-07,1.24596e-06,6.34583e-07,1.71042e-06,7.36167e-07,4.585e-07
46,2.5145e-06,4.89541e-07,1.41983e-06,7.02792e-07,1.84271e-06,7.68708e-07,4.685e-07
48,2.5455e-06,4.71542e-07,1.38408e-06,6.65375e-07,1.84925e-06,7.86792e-07,5.03084e-07
50,2.84663e-06,4.87959e-07,1.51071e-06,7.36084e-07,2.04225e-06,8.5075e-07,5.34e-07
52,3.00221e-06,5.09333e-07,1.59471e-06,7.44083e-07,2.04621e-06,9.13292e-07,5.74e-07
54,3.20433e-06,5.39167e-07,1.66796e-06,7.795e-07,2.30604e-06,9.93791e-07,6.39958e-07
56,3.27183e-06,5.915e-07,1.75117e-06,8.23542e-07,2.19346e-06,9.66208e-07,6.195e-07
58,3.53038e-06,6.215e-07,1.86646e-06,8.66917e-07,2.43033e-06,1.05712e-06,7.17541e-07
60,3.65804e-06,6.45708e-07,1.95829e-06,9.0875e-07,2.45892e-06,1.10588e-06,7.30417e-07
